Song Name,Artist Name,Debut Date,Peak Pos,Peak Weeks,Peak Date
Into The Great Wide Open,Tom Petty And The Heartbreakers,09.21.91,4,12 Wks,11.02.91
Nightwatchman,Tom Petty And The Heartbreakers,05.23.81,21,12 Wks,06.06.81
Out In The Cold,Tom Petty And The Heartbreakers,07.13.91,1,2 WKS,09.07.91
Love Is A Long Road,Tom Petty,09.23.89,7,12 Wks,10.28.89
Saving Grace,Tom Petty,07.08.06,26,12 Wks,08.12.06
Climb That Hill,Tom Petty And The Heartbreakers,10.12.96,6,12 Wks,11.16.96
It's Good To Be King,Tom Petty,04.08.95,6,12 Wks,05.20.95
YOU GOT LUCKY,Tom Petty And The Heartbreakers,11.13.82,1,3 WKS,12.11.82
Learning To Fly,Tom Petty And The Heartbreakers,06.22.91,1,6 WKS,06.29.91
Waiting For Tonight,Tom Petty And The Heartbreakers,12.09.95,6,12 Wks,01.06.96
A Face In The Crowd,Tom Petty,01.27.90,5,12 Wks,03.10.90
King's Highway,Tom Petty And The Heartbreakers,12.21.91,4,12 Wks,01.25.92
Rebels,Tom Petty,04.06.85,5,12 Wks,05.18.85
Free Girl Now,Tom Petty And The Heartbreakers,03.13.99,5,12 Wks,03.13.99
I Won't Back Down,Tom Petty,04.15.89,1,5 WKS,04.22.89
The Last DJ,Tom Petty And The Heartbreakers,09.28.02,22,12 Wks,11.09.02
Yer So Bad,Tom Petty,04.21.90,5,12 Wks,05.26.90
Walls,Tom Petty And The Heartbreakers,07.27.96,6,12 Wks,08.24.96
Runaway Trains,Tom Petty And The Heartbreakers,05.09.87,6,12 Wks,07.04.87
Don't Come Around Here No More,Tom Petty And The Heartbreakers,03.16.85,2,12 Wks,04.06.85
CHANGE OF HEART,Tom Petty And The Heartbreakers,11.27.82,10,12 Wks,03.19.83
Jammin' Me,Tom Petty And The Heartbreakers,04.18.87,1,4 WKS,05.09.87
Room At The Top,Tom Petty And The Heartbreakers,04.24.99,19,12 Wks,05.29.99
A Higher Place,Tom Petty,07.22.95,12,12 Wks,08.19.95
Change The Locks,Tom Petty And The Heartbreakers,01.04.97,20,12 Wks,02.15.97
Swingin',Tom Petty And The Heartbreakers,07.31.99,17,12 Wks,09.18.99
Needles And Pins,Tom Petty,12.28.85,17,12 Wks,02.01.86
So You Want To Be A Rock & Roll Star,Tom Petty,12.21.85,9,12 Wks,01.25.86
ONE STORY TOWN,Tom Petty And The Heartbreakers,12.04.82,15,12 Wks,12.25.82
Make It Better (Forget About Me),Tom Petty And The Heartbreakers,06.08.85,12,12 Wks,07.06.85
Think About Me,Tom Petty And The Heartbreakers,05.09.87,36,12 Wks,07.25.87
Something In The Air,Tom Petty And The Heartbreakers,02.05.94,19,12 Wks,02.26.94
Makin' Some Noise,Tom Petty And The Heartbreakers,03.21.92,30,12 Wks,04.25.92
Feel A Whole Lot Better,Tom Petty,05.06.89,18,12 Wks,05.20.89
All Mixed Up,Tom Petty And The Heartbreakers,08.01.87,19,12 Wks,08.15.87
Cabin Down Below,Tom Petty,11.11.95,29,12 Wks,11.25.95
I Will Run To You,Stevie Nicks With Tom Petty And The Heartbreakers,07.23.83,35,12 Wks,07.23.83
WE STAND A CHANCE,Tom Petty And The Heartbreakers,11.27.82,37,12 Wks,11.27.82
I Should Have Known It,Tom Petty And The Heartbreakers,07.03.10,40,12 Wks,07.03.10
BETWEEN TWO WORLDS,Tom Petty And The Heartbreakers,12.04.82,35,12 Wks,12.04.82
Heaven Knows,The Pretty Reckless,12.14.13,1,5 WKS,03.22.14
Follow Me Down,The Pretty Reckless,12.06.14,1,1 WKS,05.02.15
Take Me Down,The Pretty Reckless,07.30.16,1,2 WKS,11.05.16
Death By Rock And Roll,The Pretty Reckless,05.23.20,1,3 WKS,08.01.20
Messed Up World,The Pretty Reckless,06.28.14,1,4 WKS,09.13.14
Oh My God,The Pretty Reckless,12.31.16,2,12 Wks,03.18.17
And So It Went,The Pretty Reckless Featuring Tom Morello,01.23.21,1,2 WKS,04.24.21
Only Love Can Save Me Now,The Pretty Reckless Featuring Matt Cameron & Kim Thayil,06.26.21,1,3 WKS,09.25.21
Back To The River,Pretty Reckless Featuring Warren Haynes,06.10.17,12,12 Wks,08.05.17
Rough Boy,ZZ Top,01.18.86,5,12 Wks,04.19.86
Stages,ZZ Top,11.23.85,1,2 WKS,02.08.86
Tube Snake Boogie,ZZ Top,08.08.81,4,12 Wks,09.12.81
Legs,ZZ Top,04.14.84,3,12 Wks,06.09.84
My Head's In Mississippi,ZZ Top,10.27.90,1,6 WKS,12.08.90
Give It Up,ZZ Top,12.22.90,2,12 Wks,01.26.91
Got Me Under Pressure,ZZ Top,04.16.83,18,12 Wks,05.14.83
Sleeping Bag,ZZ Top,10.19.85,1,2 WKS,11.09.85
Can't Stop Rockin',ZZ Top,11.09.85,8,12 Wks,12.21.85
Sharp Dressed Man,ZZ Top,07.09.83,8,12 Wks,07.09.83
Gimme All Your Lovin',ZZ Top,04.16.83,2,12 Wks,04.30.83
Doubleback,ZZ Top,05.12.90,1,5 WKS,05.19.90
What's Up With That,ZZ Top,09.14.96,5,12 Wks,10.05.96
Pearl Necklace,ZZ Top,08.15.81,28,12 Wks,09.19.81
Bang Bang,ZZ Top,11.30.96,22,12 Wks,01.18.97
Velcro Fly,ZZ Top,07.05.86,15,12 Wks,08.16.86
She's Just Killing Me,ZZ Top,02.17.96,12,12 Wks,03.23.96
Breakaway,ZZ Top,03.12.94,7,12 Wks,04.16.94
Fearless Boogie,ZZ Top,10.02.99,13,12 Wks,10.16.99
Concrete And Steel,ZZ Top,10.06.90,1,4 WKS,10.13.90
Pincushion,ZZ Top,01.22.94,1,4 WKS,01.29.94
Delirious,ZZ Top,02.15.86,16,12 Wks,03.01.86
Fuzzbox Voodoo,ZZ Top,08.13.94,30,12 Wks,08.27.94
Decision Or Collision,ZZ Top,03.09.91,14,12 Wks,04.06.91
Girl In A T-Shirt,ZZ Top,05.28.94,27,12 Wks,06.18.94
Gun Love,ZZ Top,05.09.92,8,12 Wks,05.30.92
TV Dinners,ZZ Top,12.10.83,38,12 Wks,12.10.83
Woke Up With Wood,ZZ Top,05.24.86,18,12 Wks,06.14.86
36-22-36,ZZ Top,02.05.00,31,12 Wks,02.12.00
Rhythmeen,ZZ Top,05.03.97,35,12 Wks,05.24.97
Viva Las Vegas,ZZ Top,04.18.92,16,12 Wks,04.18.92
Animal I Have Become,Three Days Grace,04.22.06,1,7 WKS,07.29.06
(I Hate) Everything About You,Three Days Grace,08.02.03,4,12 Wks,12.20.03
Never Too Late,Three Days Grace,05.19.07,1,7 WKS,08.18.07
Pain,Three Days Grace,10.14.06,1,13 WKS,12.23.06
Break,Three Days Grace,09.19.09,1,11 WKS,12.12.09
Just Like You,Three Days Grace,04.17.04,1,3 WKS,08.21.04
Chalk Outline,Three Days Grace,09.01.12,1,13 WKS,09.22.12
The Good Life,Three Days Grace,02.20.10,1,5 WKS,05.29.10
Misery Loves My Company,Three Days Grace,06.22.13,1,1 WKS,11.02.13
Riot,Three Days Grace,11.10.07,12,12 Wks,05.17.08
Home,Three Days Grace,10.23.04,2,12 Wks,01.22.05
World So Cold,Three Days Grace,08.21.10,1,5 WKS,12.11.10
I Am Machine,Three Days Grace,10.18.14,1,6 WKS,02.07.15
The High Road,Three Days Grace,01.12.13,1,1 WKS,04.27.13
I Am The Weapon,Three Days Grace,10.08.22,4,12 Wks,04.01.23
Right Left Wrong,Three Days Grace,11.24.18,1,3 WKS,04.20.19
Somebody That I Used To Know,Three Days Grace,08.01.20,4,12 Wks,12.19.20
So Called Life,Three Days Grace,12.11.21,1,4 WKS,02.05.22
The Mountain,Three Days Grace,02.03.18,1,5 WKS,03.31.18
Painkiller,Three Days Grace,04.19.14,1,4 WKS,06.21.14
Human Race,Three Days Grace,04.11.15,3,12 Wks,06.27.15
Fallen Angel,Three Days Grace,10.03.15,6,12 Wks,01.23.16
Lost In You,Three Days Grace,02.19.11,7,12 Wks,06.11.11
Lifetime,Three Days Grace,04.23.22,1,3 WKS,07.09.22
Infra-Red,Three Days Grace,06.23.18,1,1 WKS,09.15.18
Forever,Papa Roach,01.27.07,2,12 Wks,04.14.07
Last Resort,Papa Roach,05.06.00,4,12 Wks,09.23.00
Getting Away With Murder,Papa Roach,07.24.04,2,12 Wks,10.09.04
Kill The Noise,Papa Roach,09.18.21,1,4 WKS,11.20.21
Leader Of The Broken Hearts,Papa Roach,06.01.13,4,12 Wks,10.19.13
Lifeline,Papa Roach,01.31.09,1,6 WKS,04.18.09
Burn,Papa Roach,12.25.10,3,12 Wks,04.16.11
Scars,Papa Roach,11.20.04,4,12 Wks,02.05.05
Come Around,Papa Roach,08.10.19,1,1 WKS,12.07.19
Gravity,Papa Roach,06.20.15,5,12 Wks,11.14.15
She Loves Me Not,Papa Roach,05.18.02,3,12 Wks,08.03.02
To Be Loved,Papa Roach,08.12.06,8,12 Wks,11.18.06
Kick In The Teeth,Papa Roach,07.03.10,2,12 Wks,10.23.10
Where Did The Angels Go,Papa Roach,12.15.12,2,12 Wks,04.13.13
American Dreams,Papa Roach,06.10.17,3,12 Wks,09.30.17
Elevate,Papa Roach,02.16.19,4,12 Wks,06.22.19
Face Everything And Rise,Papa Roach,11.22.14,1,1 WKS,03.21.15
Help,Papa Roach,03.11.17,1,6 WKS,04.15.17
No Matter What,Papa Roach,07.30.11,13,12 Wks,11.26.11
Still Swinging,Papa Roach,08.11.12,3,12 Wks,10.13.12
Broken Home,Papa Roach,09.30.00,18,12 Wks,12.09.00
Born For Greatness,Papa Roach,11.25.17,1,3 WKS,02.10.18
Falling Apart,Papa Roach,01.23.16,7,12 Wks,05.14.16
The Ending,Papa Roach,12.05.20,1,1 WKS,03.13.21
Who Do You Trust?,Papa Roach,10.20.18,3,12 Wks,02.02.19
Cut The Line,Papa Roach,02.11.23,1,1 WKS,05.13.23
No Apologies,Papa Roach,06.18.22,1,1 WKS,09.24.22
Take Me,Papa Roach,04.30.05,11,12 Wks,07.30.05
Time Is Running Out,Papa Roach,08.11.07,15,12 Wks,10.20.07
Leave A Light On,Papa Roach,11.11.23,1,2 WKS,02.24.24
Stand Up,Papa Roach,02.05.22,12,12 Wks,04.02.22
I Almost Told You That I Loved You,Papa Roach,06.27.09,20,12 Wks,08.15.09
Time And Time Again,Papa Roach,10.05.02,26,12 Wks,11.16.02
Between Angels And Insects,Papa Roach,03.03.01,27,12 Wks,03.24.01
Swerve,Papa Roach Featuring Jason Aalon Butler & Sueco,08.14.21,35,12 Wks,09.11.21
Hollywood Whore,Papa Roach,01.10.09,37,12 Wks,01.24.09
Reckless,Papa Roach,01.26.08,40,12 Wks,01.26.08
Best Of You,Foo Fighters,05.07.05,1,4 WKS,07.30.05
All My Life,Foo Fighters,09.21.02,3,12 Wks,12.28.02
The Pretender,Foo Fighters,08.18.07,1,6 WKS,10.06.07
Walk,Foo Fighters,06.25.11,1,4 WKS,09.10.11
These Days,Foo Fighters,11.12.11,3,12 Wks,03.17.12
Learn To Fly,Foo Fighters,10.02.99,2,12 Wks,11.27.99
Everlong,Foo Fighters,08.23.97,4,12 Wks,10.18.97
My Hero,Foo Fighters,01.31.98,8,12 Wks,04.18.98
Times Like These,Foo Fighters,02.01.03,5,12 Wks,04.12.03
DOA,Foo Fighters,09.10.05,5,12 Wks,12.03.05
The Sky Is A Neighborhood,Foo Fighters,09.09.17,1,4 WKS,12.09.17
Rope,Foo Fighters,03.12.11,1,5 WKS,04.02.11
Long Road To Ruin,Foo Fighters,12.15.07,2,12 Wks,03.08.08
Let It Die,Foo Fighters,05.10.08,5,12 Wks,07.26.08
Making A Fire,Foo Fighters,06.19.21,1,1 WKS,09.18.21
Love Dies Young,Foo Fighters,12.04.21,3,12 Wks,03.26.22
Rescued,Foo Fighters,04.29.23,1,6 WKS,05.20.23
Under You,Foo Fighters,08.12.23,1,1 WKS,09.30.23
Waiting On A War,Foo Fighters,02.06.21,1,2 WKS,04.10.21
Wheels,Foo Fighters,10.10.09,4,12 Wks,11.21.09
Something From Nothing,Foo Fighters,11.01.14,1,13 WKS,11.08.14
Congregation,Foo Fighters,02.14.15,1,3 WKS,04.04.15
Saint Cecilia,Foo Fighters,12.19.15,3,12 Wks,02.20.16
Run,Foo Fighters,06.17.17,1,4 WKS,07.29.17
Shame Shame,Foo Fighters,11.14.20,1,6 WKS,12.19.20
No Way Back,Foo Fighters,02.18.06,6,12 Wks,04.01.06
Monkey Wrench,Foo Fighters,05.10.97,9,12 Wks,06.14.97
The Line,Foo Fighters,05.12.18,4,12 Wks,07.07.18
Bridge Burning,Foo Fighters,04.07.12,14,12 Wks,06.23.12
Outside,Foo Fighters,08.22.15,7,12 Wks,10.17.15
I'll Stick Around,Foo Fighters,10.07.95,12,12 Wks,12.02.95
This Is A Call,Foo Fighters,07.08.95,6,12 Wks,08.26.95
Stacked Actors,Foo Fighters,02.12.00,9,12 Wks,04.01.00
Breakout,Foo Fighters,05.13.00,11,12 Wks,06.24.00
The One,Foo Fighters,12.29.01,20,12 Wks,02.09.02
Big Me,Foo Fighters,03.02.96,18,12 Wks,04.06.96
Low,Foo Fighters,07.26.03,23,12 Wks,09.06.03
The Glass,Foo Fighters,01.20.24,8,12 Wks,02.24.24
Baker Street,Foo Fighters,04.18.98,34,12 Wks,05.16.98
No Son Of Mine,Foo Fighters,01.23.21,32,12 Wks,01.30.21
Edge Of Seventeen (Just Like The White Winged Dove),Stevie Nicks,08.08.81,4,12 Wks,09.19.81
Stop Draggin' My Heart Around,Stevie Nicks With Tom Petty And The Heartbreakers,08.01.81,2,12 Wks,08.29.81
Stand Back,Stevie Nicks,06.04.83,2,12 Wks,06.25.83
I Can't Wait,Stevie Nicks,11.30.85,6,12 Wks,01.25.86
Rooms On Fire,Stevie Nicks,05.06.89,1,1 WKS,06.17.89
Talk To Me,Stevie Nicks,11.16.85,1,2 WKS,12.14.85
ENCHANTED,Stevie Nicks,07.16.83,12,12 Wks,08.27.83
Long Way To Go,Stevie Nicks,07.01.89,11,12 Wks,08.19.89
Leather And Lace,Stevie Nicks With Don Henley,11.28.81,26,12 Wks,01.09.82
IF ANYONE FALLS,Stevie Nicks,09.24.83,8,12 Wks,10.15.83
NOTHING EVER CHANGES,Stevie Nicks,07.30.83,19,12 Wks,08.20.83
Sometimes (It's A Bitch),Stevie Nicks,08.31.91,7,12 Wks,09.07.91
Violet And Blue,Stevie Nicks,03.31.84,19,12 Wks,04.28.84
I Will Run To You,Stevie Nicks With Tom Petty And The Heartbreakers,07.23.83,35,12 Wks,07.23.83
Maybe Love Will Change Your Mind,Stevie Nicks,06.25.94,36,12 Wks,07.02.94
Nightbird,Stevie Nicks,02.11.84,32,12 Wks,02.11.84
Headstrong,Trapt,10.26.02,1,1 WKS,07.26.03
Still Frame,Trapt,07.12.03,1,1 WKS,12.06.03
Stand Up,Trapt,07.30.05,3,12 Wks,11.26.05
Who's Going Home With You Tonight?,Trapt,06.28.08,12,12 Wks,12.06.08
Contagious,Trapt,02.28.09,18,12 Wks,07.11.09
Sound Off,Trapt,09.11.10,16,12 Wks,12.18.10
Bring It,Trapt,11.03.12,19,12 Wks,03.16.13
Passenger,Trapt,07.25.15,24,12 Wks,11.07.15
Love Hate Relationship,Trapt,07.13.13,29,12 Wks,08.17.13
Echo,Trapt,02.07.04,13,12 Wks,03.20.04
Waiting,Trapt,02.04.06,20,12 Wks,03.11.06
Disconnected (Out Of Touch),Trapt,05.27.06,24,12 Wks,07.15.06
It's Over,Trapt,10.22.16,33,12 Wks,11.19.16
IN THE DARK,Billy Squier,05.02.81,7,12 Wks,07.11.81
The Stroke,Billy Squier,05.16.81,3,12 Wks,07.04.81
Everybody Wants You,Billy Squier,08.07.82,1,6 WKS,08.28.82
LONELY IS THE NIGHT (BILLY SQUIER),Billy Squier,08.08.81,28,12 Wks,10.31.81
Rock Me Tonite,Billy Squier,07.07.84,1,2 WKS,08.04.84
Don't Say You Love Me,Billy Squier,06.03.89,4,12 Wks,07.15.89
MY KINDA LOVER,Billy Squier,06.20.81,31,12 Wks,08.15.81
All Night Long,Billy Squier,08.11.84,10,12 Wks,09.22.84
Learn How To Live,Billy Squier,10.02.82,15,12 Wks,10.30.82
She Goes Down,Billy Squier,03.30.91,4,12 Wks,05.11.91
Tied Up,Billy Squier,08.19.89,20,12 Wks,09.30.89
Love Is The Hero,Billy Squier,09.27.86,17,12 Wks,10.11.86
Emotions In Motion,Billy Squier,08.07.82,20,12 Wks,09.18.82
Don't Let Me Go,Billy Squier,11.04.89,38,12 Wks,11.18.89
Angry,Billy Squier,04.17.93,15,12 Wks,05.01.93
Facts Of Life,Billy Squier,06.22.91,37,12 Wks,07.06.91
Eye On You,Billy Squier,01.05.85,29,12 Wks,01.05.85
Shot O' Love,Billy Squier,11.22.86,30,12 Wks,11.29.86
Can't Get Next To You,Billy Squier,09.29.84,51,12 Wks,10.06.84
SHE's A RUNNER,Billy Squier,03.12.83,44,12 Wks,03.12.83
KEEP ME SATISFIED,Billy Squier,08.07.82,46,12 Wks,08.07.82
One Step Closer,Linkin Park,09.16.00,4,12 Wks,01.20.01
In The End,Linkin Park,09.22.01,3,12 Wks,12.29.01
Crawling,Linkin Park,04.21.01,3,12 Wks,07.28.01
Numb,Linkin Park,10.11.03,1,3 WKS,01.03.04
Lost,Linkin Park,02.25.23,1,8 WKS,03.18.23
Faint,Linkin Park,06.21.03,2,12 Wks,08.23.03
What I've Done,Linkin Park,04.21.07,1,8 WKS,05.12.07
Given Up,Linkin Park,03.15.08,5,12 Wks,06.21.08
Somewhere I Belong,Linkin Park,03.15.03,1,1 WKS,04.12.03
Lying From You,Linkin Park,02.28.04,2,12 Wks,05.01.04
Breaking The Habit,Linkin Park,06.26.04,1,3 WKS,09.11.04
New Divide,Linkin Park,06.06.09,1,8 WKS,07.11.09
Bleed It Out,Linkin Park,07.14.07,3,12 Wks,10.13.07
Lost In The Echo,Linkin Park,08.18.12,7,12 Wks,10.13.12
Guilty All The Same,Linkin Park Featuring Rakim,03.22.14,1,3 WKS,05.17.14
Until It's Gone,Linkin Park,06.07.14,1,1 WKS,09.20.14
Shadow Of The Day,Linkin Park,11.03.07,6,12 Wks,02.09.08
Burn It Down,Linkin Park,05.05.12,1,1 WKS,06.30.12
Rebellion,Linkin Park Featuring Daron Malakian,11.08.14,15,12 Wks,12.06.14
The Catalyst,Linkin Park,08.21.10,12,12 Wks,08.28.10
Runaway,Linkin Park,05.25.02,37,12 Wks,06.08.02
Waiting For The End,Linkin Park,11.13.10,37,12 Wks,11.13.10
Final Masquerade,Linkin Park,01.03.15,35,12 Wks,02.07.15
Leave Out All The Rest,Linkin Park,09.20.08,33,12 Wks,09.27.08
Fortress Around Your Heart,Sting,07.06.85,1,2 WKS,08.24.85
If I Ever Lose My Faith In You,Sting,02.13.93,5,12 Wks,04.10.93
The Soul Cages,Sting,02.09.91,7,12 Wks,04.13.91
Little Wing,Sting,10.24.87,11,12 Wks,11.28.87
All This Time,Sting,01.19.91,1,7 WKS,01.19.91
If You Love Somebody Set Them Free,Sting,06.08.85,1,3 WKS,06.29.85
Love Is The Seventh Wave,Sting,10.05.85,19,12 Wks,11.23.85
Be Still My Beating Heart,Sting,01.16.88,2,12 Wks,02.13.88
The Lazarus Heart,Sting,11.28.87,30,12 Wks,12.26.87
Fields Of Gold,Sting,06.12.93,24,12 Wks,07.17.93
We'll Be Together,Sting,10.10.87,20,12 Wks,10.24.87
Russians,Sting,01.11.86,34,12 Wks,02.08.86
I've Been Down So Long,Sting & Jeff Beck,05.17.86,14,12 Wks,06.07.86
Why Should I Cry For You?,Sting,05.18.91,32,12 Wks,06.01.91
Englishman In New York,Sting,03.26.88,32,12 Wks,04.23.88
Roxanne,Sting,04.10.82,28,12 Wks,04.17.82
It's Probably Me,Sting With Eric Clapton,06.13.92,20,12 Wks,07.04.92
I Disappear,Metallica,05.06.00,1,7 WKS,06.10.00
The Unforgiven,Metallica,11.02.91,10,12 Wks,02.01.92
No Leaf Clover,Metallica,12.04.99,1,7 WKS,01.22.00
Hero Of The Day,Metallica,09.21.96,1,3 WKS,12.07.96
King Nothing,Metallica,01.18.97,6,12 Wks,02.22.97
Until It Sleeps,Metallica,06.01.96,1,8 WKS,06.08.96
The Unforgiven II,Metallica,12.06.97,2,12 Wks,02.21.98
Fuel,Metallica,12.20.97,6,12 Wks,06.13.98
Turn The Page,Metallica,11.21.98,1,11 WKS,11.28.98
Whiskey In The Jar,Metallica,01.23.99,4,12 Wks,03.06.99
Cyanide,Metallica,09.27.08,1,2 WKS,04.04.09
Bleeding Me,Metallica,06.14.97,6,12 Wks,08.02.97
The Day That Never Comes,Metallica,09.06.08,1,9 WKS,09.20.08
The Memory Remains,Metallica,11.22.97,3,12 Wks,11.29.97
72 Seasons,Metallica,04.08.23,1,2 WKS,07.01.23
Too Far Gone?,Metallica,08.26.23,1,1 WKS,11.04.23
Master Of Puppets,Metallica,07.16.22,18,12 Wks,08.20.22
Hardwired,Metallica,09.03.16,1,1 WKS,10.08.16
Moth Into Flame,Metallica,10.15.16,5,12 Wks,11.05.16
"Atlas, Rise!",Metallica,11.19.16,1,2 WKS,02.18.17
Now That We're Dead,Metallica,05.06.17,2,12 Wks,07.08.17
Spit Out The Bone,Metallica,11.25.17,4,12 Wks,03.03.18
All Nightmare Long,Metallica,05.23.09,9,12 Wks,07.25.09
All Within My Hands,Metallica And San Francisco Symphony,07.25.20,1,4 WKS,09.05.20
Lux Aeterna,Metallica,12.10.22,1,11 WKS,12.17.22
Enter Sandman,Metallica,08.17.91,10,12 Wks,09.07.91
Nothing Else Matters,Metallica,03.14.92,11,12 Wks,04.18.92
Sad But True,Metallica,12.05.92,15,12 Wks,01.16.93
Ain't My Bitch,Metallica,07.06.96,15,12 Wks,08.24.96
Better Than You,Metallica,08.01.98,7,12 Wks,09.26.98
Wherever I May Roam,Metallica,07.11.92,25,12 Wks,08.29.92
Halo On Fire,Metallica,12.15.18,14,12 Wks,02.09.19
"Broken, Beat & Scarred",Metallica,10.24.09,15,12 Wks,12.12.09
"Die, Die My Darling",Metallica,06.05.99,26,12 Wks,07.31.99
St. Anger,Metallica,06.14.03,2,12 Wks,06.14.03
Some Kind Of Monster,Metallica,07.17.04,19,12 Wks,08.14.04
The Unnamed Feeling,Metallica,12.20.03,28,12 Wks,01.17.04
The Ecstasy Of Gold,Metallica,03.03.07,21,12 Wks,04.14.07
Frantic,Metallica,08.09.03,21,12 Wks,09.20.03
Remember Tomorrow,Metallica,08.16.08,32,12 Wks,08.30.08
One,Metallica,03.11.89,46,12 Wks,03.18.89
My Apocalypse,Metallica,09.20.08,38,12 Wks,09.20.08
Screaming Suicide,Metallica,02.18.23,40,12 Wks,02.18.23
The Bleeding,Five Finger Death Punch,08.11.07,9,12 Wks,03.08.08
Coming Down,Five Finger Death Punch,05.19.12,1,2 WKS,09.01.12
Bad Company,Five Finger Death Punch,06.05.10,2,12 Wks,08.21.10
Far From Home,Five Finger Death Punch,10.16.10,4,12 Wks,03.05.11
Wrong Side Of Heaven,Five Finger Death Punch,09.13.14,2,12 Wks,11.15.14
Remember Everything,Five Finger Death Punch,11.19.11,2,12 Wks,03.10.12
Walk Away,Five Finger Death Punch,12.05.09,7,12 Wks,05.01.10
When The Seasons Change,Five Finger Death Punch,10.13.18,1,1 WKS,03.02.19
A Little Bit Off,Five Finger Death Punch,05.09.20,1,4 WKS,07.04.20
Never Enough,Five Finger Death Punch,05.03.08,9,12 Wks,08.30.08
Battle Born,Five Finger Death Punch,09.28.13,1,5 WKS,12.14.13
Living The Dream,Five Finger Death Punch,10.17.20,1,1 WKS,02.06.21
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May",04.13.19,1,5 WKS,06.01.19
Inside Out,Five Finger Death Punch,12.14.19,1,4 WKS,02.08.20
I Apologize,Five Finger Death Punch,08.27.16,4,12 Wks,11.26.16
Sham Pain,Five Finger Death Punch,05.12.18,1,1 WKS,09.08.18
Lift Me Up,Five Finger Death Punch Featuring Rob Halford,06.01.13,1,1 WKS,08.10.13
Wash It All Away,Five Finger Death Punch,10.17.15,1,2 WKS,01.23.16
Hard To See,Five Finger Death Punch,08.01.09,8,12 Wks,10.17.09
Stranger Than Fiction,Five Finger Death Punch,10.25.08,16,12 Wks,02.07.09
Under And Over It,Five Finger Death Punch,08.13.11,6,12 Wks,10.29.11
The Pride,Five Finger Death Punch,10.27.12,12,12 Wks,01.12.13
My Nemesis,Five Finger Death Punch,02.27.16,2,12 Wks,06.04.16
House Of The Rising Sun,Five Finger Death Punch,03.01.14,7,12 Wks,05.03.14
Jekyll And Hyde,Five Finger Death Punch,07.04.15,3,12 Wks,09.26.15
Gone Away,Five Finger Death Punch,12.30.17,2,12 Wks,04.14.18
Darkness Settles In,Five Finger Death Punch,05.15.21,1,5 WKS,07.03.21
Afterlife,Five Finger Death Punch,04.23.22,1,4 WKS,06.11.22
Welcome To The Circus,Five Finger Death Punch,11.19.22,1,1 WKS,03.04.23
Times Like These,Five Finger Death Punch,07.30.22,1,3 WKS,10.01.22
Trouble,Five Finger Death Punch,11.18.17,5,12 Wks,01.20.18
Voices In My Head,Falling In Reverse,06.11.22,5,12 Wks,11.05.22
Popular Monster,Falling In Reverse,01.25.20,1,1 WKS,05.09.20
Zombified,Falling In Reverse,01.15.22,1,1 WKS,04.30.22
Last Resort (Reimagined),Falling In Reverse,07.22.23,4,12 Wks,10.14.23
Watch The World Burn,Falling In Reverse,02.18.23,14,12 Wks,05.27.23
Superhero,Falling In Reverse,10.07.17,22,12 Wks,01.03.18
"God, If You Are Above...",Falling In Reverse,04.25.15,28,12 Wks,05.23.15
Remedy,Seether,04.23.05,1,8 WKS,06.25.05
Fine Again,Seether,08.03.02,3,12 Wks,02.15.03
Fake It,Seether,09.08.07,1,14 WKS,11.17.07
Breakdown,Seether,09.06.08,4,12 Wks,01.24.09
Country Song,Seether,03.26.11,1,10 WKS,05.07.11
Tonight,Seether,07.09.11,1,1 WKS,11.05.11
Rise Above This,Seether,03.08.08,2,12 Wks,05.31.08
Driven Under,Seether,03.22.03,13,12 Wks,06.14.03
Gasoline,Seether,09.13.03,8,12 Wks,11.29.03
Broken,Seether Featuring Amy Lee,04.24.04,9,12 Wks,07.17.04
Betray And Degrade,Seether,09.02.17,2,12 Wks,01.03.18
Same Damn Life,Seether,10.04.14,2,12 Wks,02.14.15
Truth,Seether,09.24.05,8,12 Wks,12.10.05
No Resolution,Seether,01.21.12,2,12 Wks,04.21.12
Words As Weapons,Seether,05.24.14,1,5 WKS,07.19.14
Bruised And Bloodied,Seether,02.06.21,1,2 WKS,05.15.21
Weak,Seether,11.30.13,5,12 Wks,03.22.14
Careless Whisper,Seether,03.14.09,4,12 Wks,05.16.09
The Gift,Seether,03.11.06,8,12 Wks,06.17.06
Here And Now,Seether,07.07.12,5,12 Wks,10.13.12
Dangerous,Seether,07.04.20,1,3 WKS,10.10.20
Save Today,Seether,10.10.15,4,12 Wks,01.23.16
Let You Down,Seether,03.11.17,1,4 WKS,05.27.17
Nobody Praying For Me,Seether,05.16.15,6,12 Wks,07.04.15
Wasteland,Seether,07.31.21,1,1 WKS,10.30.21
Against The Wall,Seether,07.07.18,19,12 Wks,08.25.18
Seether,Seether,09.28.13,12,12 Wks,11.02.13
"What's The Frequency, Kenneth?",R.E.M.,09.24.94,2,12 Wks,10.08.94
Drive,R.E.M.,10.03.92,2,12 Wks,11.07.92
Stand,R.E.M.,12.03.88,1,1 WKS,02.11.89
Bang And Blame,R.E.M.,12.03.94,3,12 Wks,01.21.95
Bittersweet Me,R.E.M.,10.12.96,7,12 Wks,11.16.96
Losing My Religion,R.E.M.,03.09.91,1,3 WKS,04.13.91
